percentAll,count,totalCount,percentReactive,cytCombo,id,group,stim,concGroup,cell
0,0,2852,0,TNFa-IL6+IL12-IFNa+,a2007,adult,LPS,3,mDC
9.54,272,2852,51.04705441,TNFa-IL6+IL12-IFNa-,a2007,adult,LPS,3,mDC
0,0,2852,0,TNFa-IL6-IL12+IFNa+,a2007,adult,LPS,3,mDC
0.46,13,2852,2.461388368,TNFa-IL6-IL12+IFNa-,a2007,adult,LPS,3,mDC
0.04,1,2852,0.214033771,TNFa-IL6-IL12-IFNa+,a2007,adult,LPS,3,mDC
81.29,2318,2852,NA,TNFa-IL6-IL12-IFNa-,a2007,adult,LPS,3,mDC
0,0,723,0,TNFa+IL6+IL12+IFNa+,a2008,adult,LPS,3,mDC
3.46,25,723,16.35019608,TNFa+IL6+IL12+IFNa-,a2008,adult,LPS,3,mDC
0,0,723,0,TNFa+IL6+IL12-IFNa+,a2008,adult,LPS,3,mDC
5.12,37,723,24.1945098,TNFa+IL6+IL12-IFNa-,a2008,adult,LPS,3,mDC
0,0,723,0,TNFa+IL6-IL12+IFNa+,a2008,adult,LPS,3,mDC
0.83,6,723,3.922156863,TNFa+IL6-IL12+IFNa-,a2008,adult,LPS,3,mDC
0,0,723,0,TNFa+IL6-IL12-IFNa+,a2008,adult,LPS,3,mDC
4.7,34,723,22.20980392,TNFa+IL6-IL12-IFNa-,a2008,adult,LPS,3,mDC
0,0,723,0,TNFa-IL6+IL12+IFNa+,a2008,adult,LPS,3,mDC
0.55,4,723,2.599019608,TNFa-IL6+IL12+IFNa-,a2008,adult,LPS,3,mDC
0,0,723,0,TNFa-IL6+IL12-IFNa+,a2008,adult,LPS,3,mDC
4.98,36,723,23.53294118,TNFa-IL6+IL12-IFNa-,a2008,adult,LPS,3,mDC
0,0,723,0,TNFa-IL6-IL12+IFNa+,a2008,adult,LPS,3,mDC
1.52,11,723,7.182745098,TNFa-IL6-IL12+IFNa-,a2008,adult,LPS,3,mDC
0,0,723,0,TNFa-IL6-IL12-IFNa+,a2008,adult,LPS,3,mDC
78.84,570,723,NA,TNFa-IL6-IL12-IFNa-,a2008,adult,LPS,3,mDC
0.05,1,2118,0.189784946,TNFa+IL6+IL12+IFNa+,a2009,adult,LPS,3,mDC
2.64,56,2118,10.02064516,TNFa+IL6+IL12+IFNa-,a2009,adult,LPS,3,mDC
0.05,1,2118,0.189784946,TNFa+IL6+IL12-IFNa+,a2009,adult,LPS,3,mDC
6.04,128,2118,22.92602151,TNFa+IL6+IL12-IFNa-,a2009,adult,LPS,3,mDC
0,0,2118,0,TNFa+IL6-IL12+IFNa+,a2009,adult,LPS,3,mDC
1.32,28,2118,5.010322581,TNFa+IL6-IL12+IFNa-,a2009,adult,LPS,3,mDC
0,0,2118,0,TNFa+IL6-IL12-IFNa+,a2009,adult,LPS,3,mDC
4.86,103,2118,18.44709677,TNFa+IL6-IL12-IFNa-,a2009,adult,LPS,3,mDC
0,0,2118,0,TNFa-IL6+IL12+IFNa+,a2009,adult,LPS,3,mDC
0.71,15,2118,2.694946237,TNFa-IL6+IL12+IFNa-,a2009,adult,LPS,3,mDC
0.09,2,2118,0.341612903,TNFa-IL6+IL12-IFNa+,a2009,adult,LPS,3,mDC
8.59,182,2118,32.60505376,TNFa-IL6+IL12-IFNa-,a2009,adult,LPS,3,mDC
0,0,2118,0,TNFa-IL6-IL12+IFNa+,a2009,adult,LPS,3,mDC
1.84,39,2118,6.984086022,TNFa-IL6-IL12+IFNa-,a2009,adult,LPS,3,mDC
0.14,3,2118,0.531397849,TNFa-IL6-IL12-IFNa+,a2009,adult,LPS,3,mDC
73.67,1560,2118,NA,TNFa-IL6-IL12-IFNa-,a2009,adult,LPS,3,mDC
0,0,5900,0,TNFa+IL6+IL12+IFNa+,a2010,adult,LPS,3,mDC
1.83,108,5900,7.241448692,TNFa+IL6+IL12+IFNa-,a2010,adult,LPS,3,mDC
0,0,5900,0,TNFa+IL6+IL12-IFNa+,a2010,adult,LPS,3,mDC
10.29,607,5900,40.71830986,TNFa+IL6+IL12-IFNa-,a2010,adult,LPS,3,mDC
0,0,5900,0,TNFa+IL6-IL12+IFNa+,a2010,adult,LPS,3,mDC
0.58,34,5900,2.295103957,TNFa+IL6-IL12+IFNa-,a2010,adult,LPS,3,mDC
0,0,5900,0,TNFa+IL6-IL12-IFNa+,a2010,adult,LPS,3,mDC
10.75,634,5900,42.53856472,TNFa+IL6-IL12-IFNa-,a2010,adult,LPS,3,mDC
0,0,5900,0,TNFa-IL6+IL12+IFNa+,a2010,adult,LPS,3,mDC
0.1,6,5900,0.395707579,TNFa-IL6+IL12+IFNa-,a2010,adult,LPS,3,mDC
0,0,5900,0,TNFa-IL6+IL12-IFNa+,a2010,adult,LPS,3,mDC
1.61,95,5900,6.370892019,TNFa-IL6+IL12-IFNa-,a2010,adult,LPS,3,mDC
